Date,Actual,Optimized_Seasonal_Naive_Forecast
2009-01-01,4451828.0,6364093.332010582
2009-02-01,5225528.0,7046006.664021164
2009-03-01,8536465.0,9857985.996031746
2009-04-01,9611851.0,12362942.328042328
2009-05-01,10818040.0,13639309.66005291
2009-06-01,9966974.0,12222891.992063493
2009-07-01,9534189.0,10672444.324074075
2009-08-01,9100344.0,9932389.656084657
2009-09-01,8756217.0,9239840.988095239
2009-10-01,8208788.0,8147488.32010582
2009-11-01,6956330.0,6647444.652116402
2009-12-01,6610245.0,5893520.984126984
2010-01-01,4837316.0,6456137.316137566
2010-02-01,6103211.0,7138050.648148148
2010-03-01,9562808.0,9950029.98015873
2010-04-01,9828013.0,12454986.312169312
2010-05-01,10151195.0,13731353.644179894
2010-06-01,10084881.0,12314935.976190476
2010-07-01,9226172.0,10764488.308201058
2010-08-01,8376429.0,10024433.64021164
2010-09-01,8228072.0,9331884.972222222
2010-10-01,7644007.0,8239532.304232804
2010-11-01,7238399.0,6739488.636243386
2010-12-01,6468968.0,5985564.968253968
2011-01-01,4389050.0,6548181.30026455
2011-02-01,5377475.0,7230094.632275132
2011-03-01,8966370.0,10042073.964285715
2011-04-01,10092637.0,12547030.296296297
2011-05-01,9370605.0,13823397.628306879
2011-06-01,10091802.0,12406979.96031746
2011-07-01,8323061.0,10856532.292328043
2011-08-01,8033576.0,10116477.624338625
2011-09-01,7761614.0,9423928.956349207
2011-10-01,7089320.0,8331576.288359788
2011-11-01,6792018.0,6831532.62037037
2011-12-01,6070139.0,6077608.952380952
2012-01-01,5321145.0,6640225.2843915345
2012-02-01,6232678.0,7322138.616402117
2012-03-01,10023728.0,10134117.948412698
2012-04-01,10296045.0,12639074.28042328
2012-05-01,11193922.0,13915441.612433862
2012-06-01,10667785.0,12499023.944444444
2012-07-01,8509958.0,10948576.276455026
2012-08-01,8919860.0,10208521.608465608
2012-09-01,8878949.0,9515972.94047619
2012-10-01,8261148.0,8423620.272486772
2012-11-01,7376559.0,6923576.6044973545
2012-12-01,6502337.0,6169652.936507937
2013-01-01,5223917.0,6732269.268518519
2013-02-01,6014645.0,7414182.600529101
2013-03-01,9531040.0,10226161.932539683
2013-04-01,10348865.0,12731118.264550265
2013-05-01,11451843.0,14007485.596560847
2013-06-01,10193391.0,12591067.92857143
2013-07-01,9552305.0,11040620.260582011
2013-08-01,9453050.0,10300565.592592593
2013-09-01,8933701.0,9608016.924603175
2013-10-01,8557771.0,8515664.256613757
2013-11-01,7650262.0,7015620.588624339
2013-12-01,6168401.0,6261696.920634921
2014-01-01,5010919.0,6824313.252645503
2014-02-01,5632893.0,7506226.584656085
2014-03-01,9248033.0,10318205.916666666
2014-04-01,10645741.0,12823162.248677248
2014-05-01,11480753.0,14099529.58068783
2014-06-01,10601656.0,12683111.912698412
2014-07-01,9863798.0,11132664.244708994
2014-08-01,9526981.0,10392609.576719576
2014-09-01,9034119.0,9700060.908730159
2014-10-01,8967539.0,8607708.24074074
2014-11-01,7537812.0,7107664.572751323
2014-12-01,6638554.0,6353740.904761905
2015-01-01,4918693.0,6916357.236772487
2015-02-01,5881142.0,7598270.568783069
2015-03-01,8937762.0,10410249.900793651
2015-04-01,11177444.0,12915206.232804233
2015-05-01,11781081.0,14191573.564814815
2015-06-01,9844642.0,12775155.896825397
2015-07-01,9445840.0,11224708.22883598
2015-08-01,8901370.0,10484653.560846562
2015-09-01,8776440.0,9792104.892857144
2015-10-01,8257925.0,8699752.224867724
2015-11-01,7295372.0,7199708.556878307
2015-12-01,5940949.0,6445784.888888889
2016-01-01,4860205.0,7008401.220899471
2016-02-01,5661710.0,7690314.552910053
2016-03-01,8897327.0,10502293.884920634
2016-04-01,10646672.0,13007250.216931216
2016-05-01,10658413.0,14283617.548941799
2016-06-01,9704702.0,12867199.88095238
2016-07-01,8951278.0,11316752.212962963
2016-08-01,8797715.0,10576697.544973545
2016-09-01,8698482.0,9884148.876984127
2016-10-01,7904185.0,8791796.208994709
2016-11-01,7390187.0,7291752.541005291
2016-12-01,5770828.0,6537828.873015873
2017-01-01,4853791.0,7100445.205026455
2017-02-01,5827184.0,7782358.537037037
2017-03-01,9125343.0,10594337.86904762
2017-04-01,10116951.0,13099294.201058201
2017-05-01,11611715.0,14375661.533068784
2017-06-01,10504935.0,12959243.865079366
2017-07-01,9082903.0,11408796.197089948
2017-08-01,9374477.0,10668741.52910053
2017-09-01,9091460.0,9976192.861111112
2017-10-01,7962955.0,8883840.193121694
2017-11-01,7502906.0,7383796.525132275
2017-12-01,5876727.0,6629872.857142857
2018-01-01,5134673.0,7192489.189153439
2018-02-01,5964908.0,7874402.521164021
2018-03-01,8839478.0,10686381.853174603
2018-04-01,9568485.0,13191338.185185185
2018-05-01,10956227.0,14467705.517195767
2018-06-01,10328519.0,13051287.849206349
2018-07-01,8122226.0,11500840.181216931
2018-08-01,8164314.0,10760785.513227513
2018-09-01,8230582.0,10068236.845238095
2018-10-01,7315472.0,8975884.177248677
2018-11-01,6428125.0,7475840.509259259
2018-12-01,4905324.0,6721916.841269841
2019-01-01,4438773.0,7284533.1732804235
2019-02-01,4957161.0,7966446.505291006
2019-03-01,8106086.0,10778425.837301588
2019-04-01,8789443.0,13283382.16931217
2019-05-01,10040641.0,14559749.501322752
2019-06-01,9086365.0,13143331.833333334
2019-07-01,7755944.0,11592884.165343916
2019-08-01,7425886.0,10852829.497354498
2019-09-01,7358953.0,10160280.829365078
2019-10-01,6509382.0,9067928.16137566
2019-11-01,5652751.0,7567884.4933862435
2019-12-01,4598151.0,6813960.825396826
2020-01-01,3931603.0,7376577.157407408
2020-02-01,4449171.0,8058490.48941799
2020-03-01,3960816.0,10870469.82142857
2020-04-01,1643097.0,13375426.153439153
2020-05-01,4390943.0,14651793.485449735
2020-06-01,6745807.0,13235375.817460317
2020-07-01,6277936.0,11684928.1494709
2020-08-01,6110652.0,10944873.481481481
2020-09-01,6404660.0,10252324.813492063
2020-10-01,4951080.0,9159972.145502646
2020-11-01,4460191.0,7659928.477513228
2020-12-01,4163854.0,6906004.80952381
2021-01-01,2763765.0,7468621.141534392
2021-02-01,3460867.0,8150534.473544974
2021-03-01,5696800.0,10962513.805555556
2021-04-01,6326641.0,13467470.137566138
2021-05-01,6472294.0,14743837.46957672
2021-06-01,6849952.0,13327419.801587302
2021-07-01,5847114.0,11776972.133597884
2021-08-01,5786020.0,11036917.465608466
2021-09-01,5609918.0,10344368.797619049
2021-10-01,5931955.0,9252016.12962963
2021-11-01,4306017.0,7751972.461640212
2021-12-01,3884924.0,6998048.793650794
2022-01-01,3527569.0,7560665.125661376
2022-02-01,3932475.0,8242578.457671957
2022-03-01,5298968.0,11054557.78968254
2022-04-01,4884010.0,13559514.121693121
2022-05-01,5228615.0,14835881.453703703
2022-06-01,6129465.0,13419463.785714285
2022-07-01,4736452.0,11869016.117724868
2022-08-01,6199230.0,11128961.44973545
2022-09-01,4637223.0,10436412.781746032
2022-10-01,3873987.0,9344060.113756614
2022-11-01,4339192.0,7844016.445767196
2022-12-01,3634891.0,7090092.777777778
2023-01-01,3237116.0,7652709.10978836
2023-02-01,3719138.0,8334622.441798942
2023-03-01,4940515.0,11146601.773809524
2023-04-01,4760790.0,13651558.105820106
2023-05-01,5618018.0,14927925.437830688
2023-06-01,6931717.0,13511507.76984127
2023-07-01,4700526.0,11961060.101851853
2023-08-01,5524332.0,11221005.433862433
2023-09-01,5741361.0,10528456.765873015
2023-10-01,4243062.0,9436104.097883597
2023-11-01,4027578.0,7936060.42989418
2023-12-01,4341807.0,7182136.761904762
2024-01-01,3403758.0,7744753.093915343
2024-02-01,3389945.0,8426666.425925925
2024-03-01,4972380.0,11238645.757936507
2024-04-01,5317382.0,13743602.08994709
2024-05-01,6166262.0,15019969.421957672
2024-06-01,4977108.0,13603551.753968254
2024-07-01,5254248.0,12053104.085978836
2024-08-01,5081357.0,11313049.417989418
2024-09-01,5208652.0,10620500.75
